Sentence#,Main-Line#,Sub-Line#,Word,POS,Tag
1,1,0,',RD_PUNC,O
1,2,0,ಆವಿಷ್ಕಾರ,N_NN,O
1,3,0,",",RD_PUNC,O
1,4,0,ಸುಸ್ಥಿರತೆ,N_NN,O
1,5,0,ಮತ್ತು,CC_CCD,O
1,6,0,ಬಹುಪಕ್ಷೀಯ,JJ,O
1,7,0,ಸಹಕಾರ,N_NN,O
1,8,0,',RD_PUNC,O
1,9,0,ದ,PSP,O
1,10,0,ಕುರಿತು,RP_RPD,O
1,11,1,ಭಾರತ,N_NNP,NEL
1,12,0,-,RD_SYM,O
1,13,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
1,14,0,ಟ್ರ್ಯಾಕ್,N_NNP,O
1,15,0,15,QT_QTC,O
1,16,0,ಸಂವಾದದಲ್ಲಿ,N_NN,O
1,17,1,ವಿದೇಶಾಂಗ,N_NN,NETE
1,17,2,ಸಚಿವರ,N_NN,NETE
1,18,0,ಭಾಷಣ,N_NN,O
1,19,0,.,RD_PUNC,O
2,1,1,ಮಾರ್ಚ್,N_NNP,NED
2,1,2,16,QT_QTC,NED
2,2,0,",",RD_PUNC,O
2,3,1,2022,QT_QTC,NEN
2,4,0,.,RD_PUNC,O
3,1,0,ಮಹಾಮಹಿಮ,N_NN,O
3,2,0,ಶ್ರೀ,N_NN,O
3,3,1,ಫ್ರಾಂಕೋಯಿಸ್,N_NNP,NEP
3,3,2,ಡೆಲಾಟ್ರೆ,N_NNP,NEP
3,4,0,",",RD_PUNC,O
3,5,0,ಪ್ರಧಾನ,JJ,O
3,6,0,ಕಾರ್ಯದರ್ಶಿ,N_NN,O
3,7,0,",",RD_PUNC,O
3,8,1,ಯುರೋಪ್,N_NNP,NEL
3,9,0,ಮತ್ತು,CC_CCD,O
3,10,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
3,11,0,ನ,PSP,O
3,12,0,ವಿದೇಶಾಂಗ,N_NN,O
3,13,0,ವ್ಯವಹಾರಗಳ,N_NN,O
3,14,0,ಸಚಿವಾಲಯ,N_NN,O
3,15,0,",",RD_PUNC,O
4,1,0,ಮಹಾಮಹಿಮ,N_NN,O
4,2,0,ಶ್ರೀ,N_NN,O
4,3,1,ಇಮ್ಯಾನುಯೆಲ್,N_NNP,NEP
4,3,2,ಲೆನಿನ್,N_NNP,NEP
4,4,0,",",RD_PUNC,O
4,5,1,ಭಾರತದಲ್ಲಿ,N_NNP,NEL
4,6,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
4,7,0,ನ,PSP,O
4,8,0,ರಾಯಭಾರಿ,N_NN,O
4,9,0,",",RD_PUNC,O
5,1,0,ಶ್ರೀ,N_NN,O
5,2,1,ಜಾವೇದ್,N_NNP,NEP
5,2,2,ಅಶ್ರಫ್,N_NNP,NEP
5,3,0,",",RD_PUNC,O
5,4,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
5,5,0,ಮತ್ತು,CC_CCD,O
5,6,1,ಮೊನಾಕೊದಲ್ಲಿ,N_NNP,NEL
5,7,1,ಭಾರತದ,N_NNP,NEL
5,8,0,ರಾಯಭಾರಿ,N_NN,O
5,9,0,",",RD_PUNC,O
6,1,0,ರಾಯಭಾರಿ,N_NNP,O
6,2,1,ರಾಜೀವ್,N_NNP,NEP
6,2,2,ಭಾಟಿಯಾ,N_NNP,NEP
6,3,0,",",RD_PUNC,O
6,4,0,ಗಣ್ಯ,N_NN,O
6,5,0,ವ್ಯಕ್ತಿ,N_NN,O
6,6,0,",",RD_PUNC,O
6,7,1,ಗೇಟ್ವೇ,N_NN,NEO
6,7,2,ಹೌಸ್,N_NN,NEO
6,8,0,",",RD_PUNC,O
7,1,0,ಮಹಿಳೆಯರೇ,N_NN,O
7,2,0,ಮತ್ತು,CC_CCD,O
7,3,0,ಮಹನೀಯರೇ,N_NN,O
7,4,0,ಹಾಗೂ,CC_CCD,O
7,5,0,ವಿಶೇಷ,JJ,O
7,6,0,ಭಾಗೀದಾರರೇ,N_NN,O
7,7,0,",",RD_PUNC,O
8,1,0,ನಮಸ್ಕಾರ,N_NN,O
8,2,0,.,RD_PUNC,O
9,1,0,ಇಂದು,N_NN,O
9,2,1,ಭಾರತ,N_NNP,NEL
9,3,0,-,RD_SYM,O
9,4,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
9,5,0,ಟ್ರ್ಯಾಕ್,N_NNP,O
9,6,1,15,QT_QTC,NEN
9,7,0,ನೇ,N_NN,O
9,8,0,ಸಂವಾದದಲ್ಲಿ,N_NN,O
9,9,0,ಮಾತನಾಡಲು,V_VM_VINF,O
9,10,0,ನನಗೆ,PR_PRP,O
9,11,0,ಅಪಾರ,JJ,O
9,12,0,ಸಂತೋಷ,N_NN,O
9,13,0,ಆಗುತ್ತಿದೆ,V_VM_VF,O
9,14,0,.,RD_PUNC,O
10,1,0,ಜಾಗತಿಕ,JJ,O
10,2,0,ಥಿಂಕ್,N_NN,O
10,3,0,-,RD_SYM,O
10,4,0,ಟ್ಯಾಂಕ್,N_NN,O
10,5,0,ಸ್ಪೇಸ್,N_NN,O
10,6,0,ನ,PSP,O
10,7,0,ಎರಡು,QT_QTC,O
10,8,0,ಅತ್ಯಂತ,RP_INTF,O
10,9,0,ಸಕ್ರಿಯ,JJ,O
10,10,0,ಸಂಸ್ಥೆಗಳು,N_NN,O
10,11,0,-,RD_SYM,O
10,12,1,ಗೇಟ್ವೇ,N_NN,NEO
10,12,2,ಹೌಸ್,N_NN,NEO
10,13,0,ಮತ್ತು,CC_CCD,O
10,14,1,ಐಎಫ್ಆರ್ಐ,N_NN,NEO
10,15,0,ನಡುವಿನ,N_NN,O
10,16,0,ಸಹಯೋಗವನ್ನು,N_NN,O
10,17,0,ನೋಡಿ,V_VM_VNF,O
10,18,0,ನನಗೆ,PR_PRP,O
10,19,0,ಸಂತೋಷ,N_NN,O
10,20,0,ಆಗುತ್ತಿದೆ,V_VM_VF,O
10,21,0,.,RD_PUNC,O
11,1,1,2,QT_QTC,NED
11,1,2,ಅಕ್ಟೋಬರ್,N_NNP,NED
11,1,3,2020,QT_QTC,NED
11,2,0,ರಲ್ಲಿ,PSP,O
11,3,0,ನಾನು,PR_PRP,O
11,4,1,ಪ್ಯಾರಿಸ್ಗೆ,N_NNP,NEL
11,5,0,ಭೇಟಿ,N_NN,O
11,6,0,ನೀಡಿದ,V_VM_VNF,O
11,7,0,ಸಂದರ್ಭದಲ್ಲಿ,N_NN,O
11,8,1,ಐಎಫ್ಆರ್ಐನಲ್ಲಿ,N_NN,NEO
11,9,0,ಒಂದು,QT_QTC,O
11,10,0,ಸಭೆಯನ್ನು,N_NN,O
11,11,0,ಉದ್ದೇಶಿಸಿ,V_VM_VNF,O
11,12,0,ಮಾತನಾಡಲು,V_VM_VINF,O
11,13,0,ನನಗೆ,PR_PRP,O
11,14,0,ಅವಕಾಶ,N_NN,O
11,15,0,ಸಿಕ್ಕಿತ್ತು,V_VM_VF,O
11,16,0,.,RD_PUNC,O
12,1,0,ಇತ್ತೀಚೆಗೆ,N_NN,O
12,2,0,",",RD_PUNC,O
12,3,1,ಇಂಡೋ,N_NNP,NEL
12,3,2,-,RD_SYM,NEL
12,3,3,ಪೆಸಿಫಿಕ್ನಲ್ಲಿ,N_NN,NEL
12,4,0,ಸಹಕಾರಕ್ಕಾಗಿ,N_NN,O
12,5,1,ಯುರೋಪಿಯನ್,N_NNP,NEO
12,5,2,ಒಕ್ಕೂಟದ,N_NN,NEO
12,6,0,ಸಚಿವರ,N_NN,O
12,7,0,ವೇದಿಕೆಯಲ್ಲಿ,N_NN,O
12,8,0,ಭಾಗವಹಿಸಲು,V_VM_VINF,O
12,9,1,ಪ್ಯಾರಿಸ್ಗೆ,N_NN,NEL
12,10,0,ಬಂದಿದ್ದ,V_VM_VNF,O
12,11,1,ವಿದೇಶಾಂಗ,N_NN,NETE
12,11,2,ಸಚಿವ,N_NN,NETE
12,12,1,ಡಾಎಸ್ಜೈಶಂಕರ್,N_NN,NEP
12,13,0,ಅವರು,PR_PRP,O
12,14,1,ಐಎಫ್ಆರ್ಐಗೆ,N_NN,NEO
12,15,0,ಸಂಬಂಧಿಸಿದ್ದರು,V_VM_VF,O
12,16,0,.,RD_PUNC,O
13,1,0,ನಾವು,PR_PRP,O
13,2,1,ಗೇಟ್ವೇ,N_NN,NEO
13,2,2,ಹೌಸ್ನೊಂದಿಗೂ,N_NN,NEO
13,3,0,ನಿಯಮಿತವಾಗಿ,RB,O
13,4,0,ಸಹಕರಿಸುತ್ತಿದ್ದೇವೆ,V_VM_VF,O
13,5,0,ಹಾಗೆಯೇ,CC_CCS,O
13,6,0,ಅವರೊಂದಿಗೆ,PR_PRP,O
13,7,0,ನಮ್ಮ,PR_PRP,O
13,8,0,ಒಡನಾಟವನ್ನು,N_NN,O
13,9,0,ಮುಂದುವರಿಸಲು,V_VM_VINF,O
13,10,0,ಸಹ,RP_RPD,O
13,11,0,ನಾವು,PR_PRP,O
13,12,0,ಎದುರು,N_NST,O
13,13,0,ನೋಡುತ್ತಿದ್ದೇವೆ,V_VM_VF,O
13,14,0,.,RD_PUNC,O
14,1,1,3,QT_QTC,NEN
14,2,0,ಇಂದು,N_NN,O
14,3,0,ನಾವು,PR_PRP,O
14,4,0,ಅರ್ಥಮಾಡಿಕೊಂಡಂತೆ,V_VM_VNF,O
14,5,0,",",RD_PUNC,O
14,6,0,ಜಾಗತಿಕ,JJ,O
14,7,0,ಯುದ್ಧತಂತ್ರದ,N_NN,O
14,8,0,ದೃಷ್ಟಿಕೋನವು,N_NN,O
14,9,0,ಮೊದಲಿಗಿಂತ,N_NN,O
14,10,0,ಸಾಕಷ್ಟು,JJ,O
14,11,0,ಜಟಿಲ,N_NN,O
14,12,0,ಆಗಿದೆ,V_VM_VF,O
14,13,0,.,RD_PUNC,O
15,1,0,ಎರಡನೇ,QT_QTO,O
15,2,0,ವಿಶ್ವ,N_NN,O
15,3,0,ಯುದ್ಧದ,N_NN,O
15,4,0,ನಂತರದ,N_NST,O
15,5,0,ಭದ್ರತಾ,N_NN,O
15,6,0,ರಚನೆ,N_NN,O
15,7,0,",",RD_PUNC,O
15,8,0,ಇದರಿಂದಾಗಿ,PR_PRP,O
15,9,0,ಕಳೆದ,V_VM_VNF,O
15,10,0,ಹಲವು,QT_QTF,O
15,11,0,ದಶಕಗಳಲ್ಲಿ,N_NN,O
15,12,1,ಯುರೋಪಿನಲ್ಲಿ,N_NNP,NEL
15,13,0,ಶಾಂತಿ,N_NN,O
15,14,0,ನೆಲೆಸಿತ್ತು,V_VM_VNF,O
15,15,0,",",RD_PUNC,O
15,16,0,ಈಗ,N_NST,O
15,17,0,ಶಿಥಿಲ,N_NNP,O
15,18,0,ಆಗುತ್ತಿದೆ,V_VM_VF,O
15,19,0,.,RD_PUNC,O
16,1,0,ಅಂತಹ,DM_DMD,O
16,2,0,ಪರಿಸ್ಥಿತಿಯಲ್ಲಿ,N_NN,O
16,3,0,ಸ್ಥಿರತೆಯನ್ನು,N_NN,O
16,4,0,ಕಾಪಾಡಿಕೊಳ್ಳಲು,V_VM_VINF,O
16,5,0,ಪ್ರೌಢ,JJ,O
16,6,0,ಸಹಭಾಗಿತ್ವದ,N_NN,O
16,7,0,ಅಗತ್ಯ,N_NN,O
16,8,0,ಇದೆ,V_VM_VF,O
16,9,0,.,RD_PUNC,O
17,1,0,ಆದ್ದರಿಂದ,CC_CCS,O
17,2,0,",",RD_PUNC,O
17,3,0,ಯಾವಾಗಲೂ,RB,O
17,4,0,ಕಾರ್ಯತಂತ್ರದ,N_NN,O
17,5,0,ಸ್ವಾಯತ್ತತೆಯನ್ನು,N_NN,O
17,6,0,ಕಾಪಾಡಿಕೊಳ್ಳಲು,V_VM_VINF,O
17,7,0,ಬೇಡಿಕೆಯಿಟ್ಟ,V_VM_VNF,O
17,8,0,ಮತ್ತು,CC_CCD,O
17,9,0,ಯಶಸ್ವಿ,RB,O
17,10,0,ಆಗಿರುವ,V_VM_VNF,O
17,11,1,ಭಾರತ,N_NNP,NEL
17,12,0,ಮತ್ತು,CC_CCD,O
17,13,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
17,14,0,",",RD_PUNC,O
17,15,0,ಶಾಂತಿ,N_NNP,O
17,16,0,",",RD_PUNC,O
17,17,0,ಸಂವಾದ,JJ,O
17,18,0,ಮತ್ತು,CC_CCD,O
17,19,0,ರಾಜತಾಂತ್ರಿಕತೆಯ,N_NN,O
17,20,0,ಕರೆಯಲ್ಲಿ,N_NN,O
17,21,0,ಮುಂಚೂಣಿಯಲ್ಲಿ,N_NN,O
17,22,0,ಇರುವುದು,V_VM_VNG,O
17,23,0,ಮಾತ್ರ,RP_RPD,O
17,24,0,ಸೂಕ್ತ,N_NN,O
17,25,0,ಆಗಿದೆ,V_VM_VF,O
17,26,0,.,RD_PUNC,O
18,1,1,ರಷ್ಯಾ,N_NNP,NEL
18,2,0,ಮತ್ತು,CC_CCD,O
18,3,1,ಉಕ್ರೇನ್,N_NNP,NEL
18,4,0,ನಾಯಕರ,N_NN,O
18,5,0,ಜೊತೆ,PSP,O
18,6,0,ನಿಯಮಿತ,JJ,O
18,7,0,ಸಂಪರ್ಕ,N_NN,O
18,8,0,ಹೊಂದಿರುವ,V_VM_VNF,O
18,9,0,ನಾಯಕರಲ್ಲಿ,N_NN,O
18,10,0,ಪ್ರಧಾನಿ,N_NN,O
18,11,1,ಮೋದಿ,N_NN,NEP
18,12,0,ಮತ್ತು,CC_CCD,O
18,13,0,ರಾಷ್ಟ್ರಪತಿ,N_NN,O
18,14,1,ಮ್ಯಾಕ್ರನ್,N_NN,NEP
18,15,0,ಸೇರಿದ್ದಾರೆ,V_VM_VF,O
18,16,0,ಹಾಗೆಯೇ,CC_CCS,O
18,17,0,ಅವರೊಂದಿಗೆ,PR_PRP,O
18,18,0,ಸಂವಹನದ,N_NN,O
18,19,0,ಮಾರ್ಗಗಳು,N_NN,O
18,20,0,ಇನ್ನೂ,RB,O
18,21,0,ತೆರೆದಿವೆ,V_VM_VF,O
18,22,0,.,RD_PUNC,O
19,1,1,4,QT_QTC,NEN
19,2,1,ಭಾರತ,N_NNP,NEL
19,3,0,ಮತ್ತು,CC_CCD,O
19,4,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
19,5,0,ಬಹಳ,JJ,O
19,6,0,ಸಮಯದಿಂದಲೂ,N_NN,O
19,7,0,ಸ್ನೇಹಿತರು,N_NN,O
19,8,0,ಮತ್ತು,CC_CCD,O
19,9,0,ಕಾರ್ಯತಂತ್ರದ,N_NN,O
19,10,0,ಪಾಲುದಾರರು,N_NN,O
19,11,0,ಆಗಿದ್ದಾರೆ,V_VM_VF,O
19,12,0,.,RD_PUNC,O
20,1,1,ಇಂಡೋ,N_NNP,NEL
20,2,0,-,RD_SYM,O
20,3,1,ಪೆಸಿಫಿಕ್ನಲ್ಲಿ,N_NN,NEL
20,4,0,ನೆಲೆಗೊಂಡಿರುವ,V_VM_VNF,O
20,5,0,ಶಕ್ತಿಗಳ,N_NN,O
20,6,0,ರೂಪದಲ್ಲಿ,N_NN,O
20,7,0,",",RD_PUNC,O
20,8,0,ಅವರಿಗೆ,PR_PRP,O
20,9,0,ಈ,DM_DMD,O
20,10,0,ಕ್ಷೇತ್ರದಲ್ಲಿನ,N_NN,O
20,11,0,ಸವಾಲುಗಳು,N_NN,O
20,12,0,",",RD_PUNC,O
20,13,0,ಅವಕಾಶಗಳು,N_NN,O
20,14,0,ಹಾಗೆಯೇ,RP_RPD,O
20,15,0,ಅಪಾಯಗಳ,N_NN,O
20,16,0,ಬಗ್ಗೆ,RP_RPD,O
20,17,0,ಸಾಮಾನ್ಯ,JJ,O
20,18,0,ಸಹಭಾಗಿತ್ವದ,N_NN,O
20,19,0,ಅರಿವು,N_NN,O
20,20,0,ಆಗಿದೆ,V_VM_VF,O
20,21,0,.,RD_PUNC,O
21,1,1,ದ್ವಿಪಕ್ಷೀಯ,JJ,NETE
21,1,2,ಸಂಬಂಧಗಳಲ್ಲಿ,N_NN,NETE
21,2,0,ರಕ್ಷಣೆ,N_NN,O
21,3,0,ಮತ್ತು,CC_CCD,O
21,4,0,ಭದ್ರತೆ,N_NN,O
21,5,0,",",RD_PUNC,O
21,6,0,ವಿಜ್ಞಾನ,N_NN,O
21,7,0,ಮತ್ತು,CC_CCD,O
21,8,0,ತಂತ್ರಜ್ಞಾನ,N_NN,O
21,9,0,",",RD_PUNC,O
21,10,0,ಬಾಹ್ಯಾಕಾಶ,N_NNP,O
21,11,0,ಮತ್ತು,CC_CCD,O
21,12,0,ಸಾಂಸ್ಕೃತಿಕ,JJ,O
21,13,0,ಸಂಪರ್ಕಗಳಂತಹ,N_NN,O
21,14,0,ಸಾಂಪ್ರದಾಯಿಕ,JJ,O
21,15,0,ಕ್ಷೇತ್ರಗಳಲ್ಲಿ,N_NN,O
21,16,0,ಸಹಕಾರದ,N_NN,O
21,17,0,ಪ್ರಾಬಲ್ಯ,N_NN,O
21,18,0,ಇದೆ,V_VM_VF,O
21,19,0,.,RD_PUNC,O
22,1,0,ಆದಾಗ್ಯೂ,V_VM_VNF,O
22,2,0,",",RD_PUNC,O
22,3,1,21,QT_QTC,NEN
22,4,0,ನೇ,QT_QTO,O
22,5,0,ಶತಮಾನದ,N_NN,O
22,6,0,ಸಮಸ್ಯೆಗಳಿಗೆ,N_NN,O
22,7,1,21,QT_QTC,NEN
22,8,0,ನೇ,QT_QTO,O
22,9,0,ಶತಮಾನದ,N_NN,O
22,10,0,ಪರಿಹಾರಗಳ,N_NN,O
22,11,0,ಅಗತ್ಯ,N_NN,O
22,12,0,ಇದೆ,V_VM_VF,O
22,13,0,.,RD_PUNC,O
23,1,1,ಎರಡೂ,QT_QTC,NEN
23,2,0,ದೇಶಗಳು,N_NN,O
23,3,0,ಇದನ್ನು,PR_PRP,O
23,4,0,ಚೆನ್ನಾಗಿ,RB,O
23,5,0,ಅರ್ಥಮಾಡಿಕೊಂಡಿವೆ,V_VM_VF,O
23,6,0,",",RD_PUNC,O
23,7,0,ಇದೇ,PR_PRP,O
23,8,0,ಕಾರಣದಿಂದ,N_NN,O
23,9,0,ಅವರು,PR_PRP,O
23,10,0,ಡಿಜಿಟಲ್,N_NNP,O
23,11,0,",",RD_PUNC,O
23,12,0,ಸೈಬರ್,N_NN,O
23,13,0,ಭದ್ರತೆ,N_NN,O
23,14,0,",",RD_PUNC,O
23,15,0,ಹಸಿರು,JJ,O
23,16,0,ಶಕ್ತಿ,N_NN,O
23,17,0,ಮತ್ತು,CC_CCD,O
23,18,0,ನಿರಂತರ,JJ,O
23,19,0,ಅಭಿವೃದ್ಧಿಯಂತಹ,N_NN,O
23,20,0,ಅಸಾಂಪ್ರದಾಯಿಕ,JJ,O
23,21,0,ಕ್ಷೇತ್ರಗಳಲ್ಲಿ,N_NN,O
23,22,0,ತಮ್ಮ,PR_PRF,O
23,23,0,ಸಹಕಾರವನ್ನು,N_NN,O
23,24,0,ವೇಗವಾಗಿ,RB,O
23,25,0,ವಿಸ್ತರಿಸುತ್ತಾ,V_VM_VNF,O
23,26,0,ಇದ್ದಾರೆ,V_VM_VF,O
23,27,0,.,RD_PUNC,O
24,1,1,5,QT_QTC,NEN
24,2,1,ಕೋವಿಡ್,N_NNP,NEA
24,2,2,-,RD_SYM,NEA
24,2,3,19,QT_QTC,NEA
24,3,0,ಮಹಾಮಾರಿಯಂತಹ,N_NN,O
24,4,0,ದಶಕದ,N_NN,O
24,5,0,ಅತಿದೊಡ್ಡ,JJ,O
24,6,0,ಅಸಾಂಪ್ರದಾಯಿಕವಾದ,JJ,O
24,7,0,ಅಪಾಯವನ್ನು,N_NN,O
24,8,0,ಜಗತ್ತು,N_NN,O
24,9,0,ಎದುರಿಸಿದೆ,V_VM_VF,O
24,10,0,.,RD_PUNC,O
25,1,0,ಪ್ರತಿಕ್ರಿಯೆಯಾಗಿ,RB,O
25,2,0,",",RD_PUNC,O
25,3,1,ಭಾರತ,N_NNP,NEL
25,4,0,ಮತ್ತು,CC_CCD,O
25,5,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
25,6,0,ಸಮನ್ವಯ,N_NN,O
25,7,0,ಮತ್ತು,CC_CCD,O
25,8,0,ಸಹಯೋಗದಲ್ಲಿ,N_NN,O
25,9,0,ಕೆಲಸ,N_NN,O
25,10,0,ಮಾಡಿದವು,V_VM_VNF,O
25,11,0,",",RD_PUNC,O
25,12,0,ಕಷ್ಟದ,N_NN,O
25,13,0,ಸಮಯದಲ್ಲಿ,N_NN,O
25,14,0,ಪರಸ್ಪರ,PR_PRC,O
25,15,0,ಸಹಾಯ,N_NN,O
25,16,0,ಮಾಡಿದವು,V_VM_VF,O
25,17,0,",",RD_PUNC,O
25,18,0,ಜೊತೆಯಲ್ಲಿಯೇ,N_NN,O
25,19,0,ಮಹಾಮಾರಿಯ,N_NN,O
25,20,0,ಜೊತೆಗೆ,PSP,O
25,21,0,ಹೋರಾಡಲು,V_VM_VINF,O
25,22,0,ಜಾಗತಿಕ,JJ,O
25,23,0,ಪ್ರಯತ್ನಗಳಿಗೆ,N_NN,O
25,24,0,ಸಹ,RP_RPD,O
25,25,0,ಕೊಡುಗೆ,N_NN,O
25,26,0,ನೀಡಿವೆ,V_VM_VF,O
25,27,0,",",RD_PUNC,O
25,28,0,ಅದು,PR_PRP,O
25,29,0,ಹಣಕಾಸಿನ,N_NN,O
25,30,0,ನೆರವಿನ,N_NN,O
25,31,0,ರೂಪದಲ್ಲಿ,N_NN,O
25,32,0,ಆಗಿರಬಹುದು,V_VM_VF,O
25,33,0,ಅಥವಾ,CC_CCD,O
25,34,0,ಜೀವ,N_NN,O
25,35,0,ಉಳಿಸುವ,V_VM_VNF,O
25,36,0,ಔಷಧಿಗಳು,N_NN,O
25,37,0,ಆಗಿರಬಹುದು,V_VM_VF,O
25,38,0,",",RD_PUNC,O
25,39,0,ವಿಶೇಷವಾಗಿ,JJ,O
25,40,0,ಲಸಿಕೆಗಳ,N_NN,O
25,41,0,ಪೂರೈಕೆಯ,N_NN,O
