Sentence#,Sentence,POS,Tag
1,"' ಆವಿಷ್ಕಾರ , ಸುಸ್ಥಿರತೆ ಮತ್ತು ಬಹುಪಕ್ಷೀಯ ಸಹಕಾರ ' ದ ಕುರಿತು ಭಾರತ - ಫ್ರಾನ್ಸ್ ಟ್ರ್ಯಾಕ್ 1.5 ಸಂವಾದದಲ್ಲಿ ವಿದೇಶಾಂಗ ಸಚಿವರ ಭಾಷಣ .",RD_PUNC N_NN RD_PUNC N_NN CC_CCD JJ N_NN RD_PUNC PSP RP_RPD N_NNP RD_SYM N_NNP N_NNP QT_QTC N_NN N_NN N_NN N_NN RD_PUNC,O O O O O O O O O O NEL O NEL O O O NETE NETE O O
2,"ಮಾರ್ಚ್ 16 , 2022 .",N_NNP QT_QTC RD_PUNC QT_QTC RD_PUNC,NED NED O NEN O
3,"ಮಹಾಮಹಿಮ ಶ್ರೀ ಫ್ರಾಂಕೋಯಿಸ್ ಡೆಲಾಟ್ರೆ , ಪ್ರಧಾನ ಕಾರ್ಯದರ್ಶಿ , ಯುರೋಪ್ ಮತ್ತು ಫ್ರಾನ್ಸ್ ನ ವಿದೇಶಾಂಗ ವ್ಯವಹಾರಗಳ ಸಚಿವಾಲಯ ,",N_NN N_NN N_NNP N_NNP RD_PUNC JJ N_NN RD_PUNC N_NNP CC_CCD N_NNP PSP N_NN N_NN N_NN RD_PUNC,O O NEP NEP O O O O NEL O NEL O O O O O
4,"ಮಹಾಮಹಿಮ ಶ್ರೀ ಇಮ್ಯಾನುಯೆಲ್ ಲೆನಿನ್ , ಭಾರತದಲ್ಲಿ ಫ್ರಾನ್ಸ್ ನ ರಾಯಭಾರಿ ,",N_NN N_NN N_NNP N_NNP RD_PUNC N_NNP N_NNP PSP N_NN RD_PUNC,O O NEP NEP O NEL NEL O O O
5,"ಶ್ರೀ ಜಾವೇದ್ ಅಶ್ರಫ್ , ಫ್ರಾನ್ಸ್ ಮತ್ತು ಮೊನಾಕೊದಲ್ಲಿ ಭಾರತದ ರಾಯಭಾರಿ ,",N_NN N_NNP N_NNP RD_PUNC N_NNP CC_CCD N_NNP N_NNP N_NN RD_PUNC,O NEP NEP O NEL O NEL NEL O O
6,"ರಾಯಭಾರಿ ರಾಜೀವ್ ಭಾಟಿಯಾ , ಗಣ್ಯ ವ್ಯಕ್ತಿ , ಗೇಟ್‌ವೇ ಹೌಸ್ ,",N_NNP N_NNP N_NNP RD_PUNC N_NN N_NN RD_PUNC N_NN N_NN RD_PUNC,O NEP NEP O O O O NEO NEO O
7,"ಮಹಿಳೆಯರೇ ಮತ್ತು ಮಹನೀಯರೇ ಹಾಗೂ ವಿಶೇಷ ಭಾಗೀದಾರರೇ ,",N_NN CC_CCD N_NN CC_CCD JJ N_NN RD_PUNC,O O O O O O O
8,ನಮಸ್ಕಾರ .,N_NN RD_PUNC,O O
9,ಇಂದು ಭಾರತ - ಫ್ರಾನ್ಸ್ ಟ್ರ್ಯಾಕ್ 1.5 ನೇ ಸಂವಾದದಲ್ಲಿ ಮಾತನಾಡಲು ನನಗೆ ಅಪಾರ ಸಂತೋಷ ಆಗುತ್ತಿದೆ .,N_NN N_NNP RD_SYM N_NNP N_NNP QT_QTC N_NN N_NN V_VM_VINF PR_PRP JJ N_NN V_VM_VF RD_PUNC,O NEL O NEL O NEN O O O O O O O O
10,ಜಾಗತಿಕ ಥಿಂಕ್ - ಟ್ಯಾಂಕ್ ಸ್ಪೇಸ್ ನ ಎರಡು ಅತ್ಯಂತ ಸಕ್ರಿಯ ಸಂಸ್ಥೆಗಳು - ಗೇಟ್‌ವೇ ಹೌಸ್ ಮತ್ತು ಐಎಫ್‌ಆರ್‌ಐ ನಡುವಿನ ಸಹಯೋಗವನ್ನು ನೋಡಿ ನನಗೆ ಸಂತೋಷ ಆಗುತ್ತಿದೆ .,JJ N_NN RD_SYM N_NN N_NN PSP QT_QTC RP_INTF JJ N_NN RD_SYM N_NN N_NN CC_CCD N_NN N_NN N_NN V_VM_VNF PR_PRP N_NN V_VM_VF RD_PUNC,O O O O O O O O O O O NEO NEO O NEO O O O O O O O
11,2 .ಅಕ್ಟೋಬರ್ 2020 ರಲ್ಲಿ ನಾನು ಪ್ಯಾರಿಸ್‌ಗೆ ಭೇಟಿ ನೀಡಿದ ಸಂದರ್ಭದಲ್ಲಿ ಐಎಫ್‌ಆರ್‌ಐನಲ್ಲಿ ಒಂದು ಸಭೆಯನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಲು ನನಗೆ ಅವಕಾಶ ಸಿಕ್ಕಿತ್ತು .,QT_QTC N_NNP QT_QTC PSP PR_PRP N_NNP N_NN V_VM_VNF N_NN N_NN QT_QTC N_NN V_VM_VNF V_VM_VINF PR_PRP N_NN V_VM_VF RD_PUNC,NED NED NED O O NEL O O O NEO O O O O O O O O
12,"ಇತ್ತೀಚೆಗೆ , ಇಂಡೋ - ಪೆಸಿಫಿಕ್‌ನಲ್ಲಿ ಸಹಕಾರಕ್ಕಾಗಿ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟದ ಸಚಿವರ ವೇದಿಕೆಯಲ್ಲಿ ಭಾಗವಹಿಸಲು ಪ್ಯಾರಿಸ್‌ಗೆ ಬಂದಿದ್ದ ವಿದೇಶಾಂಗ ಸಚಿವ ಡಾ.ಎಸ್.ಜೈಶಂಕರ್ ಅವರು ಐಎಫ್‌ಆರ್‌ಐಗೆ ಸಂಬಂಧಿಸಿದ್ದರು .",N_NN RD_PUNC N_NNP RD_SYM N_NN N_NN N_NNP N_NN N_NN N_NN V_VM_VINF N_NN V_VM_VNF N_NN N_NN N_NN PR_PRP N_NN V_VM_VF RD_PUNC,O O NEL NEL NEL O NEO NEO O O O NEL O NETE NETE NEP O NEO O O
13,ನಾವು ಗೇಟ್‌ವೇ ಹೌಸ್‌ನೊಂದಿಗೂ ನಿಯಮಿತವಾಗಿ ಸಹಕರಿಸುತ್ತಿದ್ದೇವೆ ಹಾಗೆಯೇ ಅವರೊಂದಿಗೆ ನಮ್ಮ ಒಡನಾಟವನ್ನು ಮುಂದುವರಿಸಲು ಸಹ ನಾವು ಎದುರು ನೋಡುತ್ತಿದ್ದೇವೆ .,PR_PRP N_NN N_NN RB V_VM_VF CC_CCS PR_PRP PR_PRP N_NN V_VM_VINF RP_RPD PR_PRP N_NST V_VM_VF RD_PUNC,O NEO NEO O O O O O O O O O O O O
14,"3 .ಇಂದು ನಾವು ಅರ್ಥಮಾಡಿಕೊಂಡಂತೆ , ಜಾಗತಿಕ ಯುದ್ಧತಂತ್ರದ ದೃಷ್ಟಿಕೋನವು ಮೊದಲಿಗಿಂತ ಸಾಕಷ್ಟು ಜಟಿಲ ಆಗಿದೆ .",QT_QTC N_NN PR_PRP V_VM_VNF RD_PUNC JJ N_NN N_NN N_NN JJ N_NN V_VM_VF RD_PUNC,NEN O O O O O O O O O O O O
15,"ಎರಡನೇ ವಿಶ್ವ ಯುದ್ಧದ ನಂತರದ ಭದ್ರತಾ ರಚನೆ , ಇದರಿಂದಾಗಿ ಕಳೆದ ಹಲವು ದಶಕಗಳಲ್ಲಿ ಯುರೋಪಿನಲ್ಲಿ ಶಾಂತಿ ನೆಲೆಸಿತ್ತು , ಈಗ ಶಿಥಿಲ ಆಗುತ್ತಿದೆ .",QT_QTO N_NN N_NN N_NST N_NN N_NN RD_PUNC PR_PRP V_VM_VNF QT_QTF N_NN N_NNP N_NN V_VM_VNF RD_PUNC N_NST N_NNP V_VM_VF RD_PUNC,O O O O O O O O O O O NEL O O O O O O O
16,ಅಂತಹ ಪರಿಸ್ಥಿತಿಯಲ್ಲಿ ಸ್ಥಿರತೆಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಲು ಪ್ರೌಢ ಸಹಭಾಗಿತ್ವದ ಅಗತ್ಯ ಇದೆ .,DM_DMD N_NN N_NN V_VM_VINF JJ N_NN N_NN V_VM_VF RD_PUNC,O O O O O O O O O
17,"ಆದ್ದರಿಂದ , ಯಾವಾಗಲೂ ಕಾರ್ಯತಂತ್ರದ ಸ್ವಾಯತ್ತತೆಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಲು ಬೇಡಿಕೆಯಿಟ್ಟ ಮತ್ತು ಯಶಸ್ವಿ ಆಗಿರುವ ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ , ಶಾಂತಿ , ಸಂವಾದ ಮತ್ತು ರಾಜತಾಂತ್ರಿಕತೆಯ ಕರೆಯಲ್ಲಿ ಮುಂಚೂಣಿಯಲ್ಲಿ ಇರುವುದು ಮಾತ್ರ ಸೂಕ್ತ ಆಗಿದೆ .",CC_CCS RD_PUNC RB N_NN N_NN V_VM_VINF V_VM_VNF CC_CCD RB V_VM_VNF N_NNP CC_CCD N_NNP RD_PUNC N_NNP RD_PUNC JJ CC_CCD N_NN N_NN N_NN V_VM_VNG RP_RPD N_NN V_VM_VF RD_PUNC,O O O O O O O O O O NEL O NEL O O O O O O O O O O O O O
18,ರಷ್ಯಾ ಮತ್ತು ಉಕ್ರೇನ್ ನಾಯಕರ ಜೊತೆ ನಿಯಮಿತ ಸಂಪರ್ಕ ಹೊಂದಿರುವ ನಾಯಕರಲ್ಲಿ ಪ್ರಧಾನಿ ಮೋದಿ ಮತ್ತು ರಾಷ್ಟ್ರಪತಿ ಮ್ಯಾಕ್ರನ್ ಸೇರಿದ್ದಾರೆ ಹಾಗೆಯೇ ಅವರೊಂದಿಗೆ ಸಂವಹನದ ಮಾರ್ಗಗಳು ಇನ್ನೂ ತೆರೆದಿವೆ .,N_NNP CC_CCD N_NNP N_NN PSP JJ N_NN V_VM_VNF N_NN N_NN N_NN CC_CCD N_NN N_NN V_VM_VF CC_CCS PR_PRP N_NN N_NN RB V_VM_VF RD_PUNC,NEL O NEL O O O O O O O NEP O O NEP O O O O O O O O
19,4 .ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ ಬಹಳ ಸಮಯದಿಂದಲೂ ಸ್ನೇಹಿತರು ಮತ್ತು ಕಾರ್ಯತಂತ್ರದ ಪಾಲುದಾರರು ಆಗಿದ್ದಾರೆ .,QT_QTC N_NNP CC_CCD N_NNP JJ N_NN N_NN CC_CCD N_NN N_NN V_VM_VF RD_PUNC,NEN NEL O NEL O O O O O O O O
20,"ಇಂಡೋ - ಪೆಸಿಫಿಕ್‌ನಲ್ಲಿ ನೆಲೆಗೊಂಡಿರುವ ಶಕ್ತಿಗಳ ರೂಪದಲ್ಲಿ , ಅವರಿಗೆ ಈ ಕ್ಷೇತ್ರದಲ್ಲಿನ ಸವಾಲುಗಳು , ಅವಕಾಶಗಳು ಹಾಗೆಯೇ ಅಪಾಯಗಳ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಸಹಭಾಗಿತ್ವದ ಅರಿವು ಆಗಿದೆ .",N_NNP RD_SYM N_NN V_VM_VNF N_NN N_NN RD_PUNC PR_PRP DM_DMD N_NN N_NN RD_PUNC N_NN RP_RPD N_NN RP_RPD JJ N_NN N_NN V_VM_VF RD_PUNC,NEL O NEL O O O O O O O O O O O O O O O O O O
21,"ದ್ವಿಪಕ್ಷೀಯ ಸಂಬಂಧಗಳಲ್ಲಿ ರಕ್ಷಣೆ ಮತ್ತು ಭದ್ರತೆ , ವಿಜ್ಞಾನ ಮತ್ತು ತಂತ್ರಜ್ಞಾನ , ಬಾಹ್ಯಾಕಾಶ ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಸಂಪರ್ಕಗಳಂತಹ ಸಾಂಪ್ರದಾಯಿಕ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಸಹಕಾರದ ಪ್ರಾಬಲ್ಯ ಇದೆ .",JJ N_NN N_NN CC_CCD N_NN RD_PUNC N_NN CC_CCD N_NN RD_PUNC N_NNP CC_CCD JJ N_NN JJ N_NN N_NN N_NN V_VM_VF RD_PUNC,NETE NETE O O O O O O O O O O O O O O O O O O
22,"ಆದಾಗ್ಯೂ , 21 ನೇ ಶತಮಾನದ ಸಮಸ್ಯೆಗಳಿಗೆ 21 ನೇ ಶತಮಾನದ ಪರಿಹಾರಗಳ ಅಗತ್ಯ ಇದೆ .",V_VM_VNF RD_PUNC QT_QTC QT_QTO N_NN N_NN QT_QTC QT_QTO N_NN N_NN N_NN V_VM_VF RD_PUNC,O O NEN O O O NEN O O O O O O
23,"ಎರಡೂ ದೇಶಗಳು ಇದನ್ನು ಚೆನ್ನಾಗಿ ಅರ್ಥಮಾಡಿಕೊಂಡಿವೆ , ಇದೇ ಕಾರಣದಿಂದ ಅವರು ಡಿಜಿಟಲ್ , ಸೈಬರ್ ಭದ್ರತೆ , ಹಸಿರು ಶಕ್ತಿ ಮತ್ತು ನಿರಂತರ ಅಭಿವೃದ್ಧಿಯಂತಹ ಅಸಾಂಪ್ರದಾಯಿಕ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ತಮ್ಮ ಸಹಕಾರವನ್ನು ವೇಗವಾಗಿ ವಿಸ್ತರಿಸುತ್ತಾ ಇದ್ದಾರೆ .",QT_QTC N_NN PR_PRP RB V_VM_VF RD_PUNC PR_PRP N_NN PR_PRP N_NNP RD_PUNC N_NN N_NN RD_PUNC JJ N_NN CC_CCD JJ N_NN JJ N_NN PR_PRF N_NN RB V_VM_VNF V_VM_VF RD_PUNC,NEN O O O O O O O O O O O O O O O O O O O O O O O O O O
24,5 .ಕೋವಿಡ್ - 19 ಮಹಾಮಾರಿಯಂತಹ ದಶಕದ ಅತಿದೊಡ್ಡ ಅಸಾಂಪ್ರದಾಯಿಕವಾದ ಅಪಾಯವನ್ನು ಜಗತ್ತು ಎದುರಿಸಿದೆ .,QT_QTC N_NNP RD_SYM QT_QTC N_NN N_NN JJ JJ N_NN N_NN V_VM_VF RD_PUNC,NEN NEA NEA NEA O O O O O O O O
25,"ಪ್ರತಿಕ್ರಿಯೆಯಾಗಿ , ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ ಸಮನ್ವಯ ಮತ್ತು ಸಹಯೋಗದಲ್ಲಿ ಕೆಲಸ ಮಾಡಿದವು , ಕಷ್ಟದ ಸಮಯದಲ್ಲಿ ಪರಸ್ಪರ ಸಹಾಯ ಮಾಡಿದವು , ಜೊತೆಯಲ್ಲಿಯೇ ಮಹಾಮಾರಿಯ ಜೊತೆಗೆ ಹೋರಾಡಲು ಜಾಗತಿಕ ಪ್ರಯತ್ನಗಳಿಗೆ ಸಹ ಕೊಡುಗೆ ನೀಡಿವೆ , ಅದು ಹಣಕಾಸಿನ ನೆರವಿನ ರೂಪದಲ್ಲಿ ಆಗಿರಬಹುದು ಅಥವಾ ಜೀವ ಉಳಿಸುವ ಔಷಧಿಗಳು ಆಗಿರಬಹುದು , ವಿಶೇಷವಾಗಿ ಲಸಿಕೆಗಳ ಪೂರೈಕೆಯ ಮೂಲಕ .",RB RD_PUNC N_NNP CC_CCD N_NNP N_NN CC_CCD N_NN N_NN V_VM_VNF RD_PUNC N_NN N_NN PR_PRC N_NN V_VM_VF RD_PUNC N_NN N_NN PSP V_VM_VINF JJ N_NN RP_RPD N_NN V_VM_VF RD_PUNC PR_PRP N_NN N_NN N_NN V_VM_VF CC_CCD N_NN V_VM_VNF N_NN V_VM_VF RD_PUNC JJ N_NN N_NN RP_RPD RD_PUNC,O O NEL O NEL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
26,"6 .ಫ್ರಾನ್ಸ್ ವರ್ತಮಾನದಲ್ಲಿ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟದ ಪರಿಷತ್ ನ ಅಧ್ಯಕ್ಷ ಮತ್ತು ಪ್ರಸ್ತುತ ವಿಪತ್ತಿನ ಸಂದರ್ಭದಲ್ಲಿ ಯುರೋಪ್ ಅನ್ನು ಮುನ್ನಡೆಸುವಲ್ಲಿ ನಾಯಕತ್ವದ ಪಾತ್ರವನ್ನು ವಹಿಸುತ್ತಿದೆ , ಅದೇ ಸಮಯದಲ್ಲಿ ಇಂಡೋ - ಪೆಸಿಫಿಕ್ ಮೇಲೆ ಯುರೋಪ್‌ನ ಗಮನವನ್ನು ಸಹ ಬಲಪಡಿಸುತ್ತದೆ .",QT_QTC N_NN N_NN N_NNP N_NN N_NNP PSP N_NN CC_CCD JJ N_NN N_NN N_NNP PSP V_VM_VNF N_NN N_NN V_VM_VF RD_PUNC PR_PRP N_NN N_NN RD_SYM N_NN N_NST N_NNP N_NN RP_RPD V_VM_VF RD_PUNC,NEN NEL O NEO NEO O O O O O O O NEL O O O O O O O O NEL O NEL O NEL O O O O
27,"ಈ ಸಂದರ್ಭದಲ್ಲಿ , ಕಳೆದ ತಿಂಗಳು ಇಂಡೋ - ಪೆಸಿಫಿಕ್‌ನಲ್ಲಿ ಸಹಕಾರಕ್ಕಾಗಿ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟವು ಸಚಿವರ ವೇದಿಕೆಯನ್ನು ಆಯೋಜಿಸಲು ಫ್ರಾನ್ಸೇಸ್ ಉಪಕ್ರಮವನ್ನು ನಾವು ಪ್ರಶಂಸಿಸುತ್ತೇವೆ .",DM_DMD N_NN RD_PUNC V_VM_VNF N_NN N_NNP RD_SYM N_NN N_NN N_NNP N_NN N_NN N_NN V_VM_VINF N_NNP N_NN PR_PRP V_VM_VF RD_PUNC,O O O O O NEL O NEL O NEO NEO O O O NEL O O O O
28,ಸಹಯೋಗಕ್ಕಾಗಿ ಒಂದು ಹಂಚಿಕೆಯ ದೃಷ್ಟಿಕೋನ ಮತ್ತು ಕಾರ್ಯತಂತ್ರವನ್ನು ತಯಾರಿಸಲು ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ ಮತ್ತು ಭಾರತ - ಪೆಸಿಫಿಕ್ ದೇಶಗಳಿಗೆ ಇದು ಒಂದು ಅನನ್ಯ ಅವಕಾಶ ಆಗಿದೆ .,N_NN QT_QTC N_NN N_NN CC_CCD N_NN V_VM_VINF N_NNP N_NN CC_CCD N_NNP RD_SYM N_NN N_NN PR_PRP QT_QTC JJ N_NN V_VM_VF RD_PUNC,O O O O O O O NEO NEO O NEL O NEL O O O O O O O
29,ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ ಪರಿಷತ್ ನ ಫ್ರಾನ್ಸೇಸ್ ಅಧ್ಯಕ್ಷತೆಯ ಅಡಿಯಲ್ಲಿ ಭಾರತ - ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟದ ಎಫ್‌ಟಿಎ ಕುರಿತು ಮಾತುಕತೆಗಳ ಪುನರಾರಂಭಕ್ಕೂ ನಾವು ಎದುರು ನೋಡುತ್ತಿದ್ದೇವೆ .,N_NNP N_NN N_NN PSP N_NNP N_NN N_NN N_NNP RD_SYM N_NNP N_NN N_NN RP_RPD N_NN N_NN PR_PRP N_NST V_VM_VF RD_PUNC,NEO NEO NEO O NEL O O NEL O NEO NEO NEA O O O O O O O
30,"7 .ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ ‌ ಪ್ರಮುಖ ಸಾಂಪ್ರದಾಯಿಕ ಮತ್ತು ಅಸಾಂಪ್ರದಾಯಿಕ ಕಾರ್ಯತಂತ್ರದ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ವೇಗವಾಗಿ ಮುನ್ನಡೆಯುತ್ತಿರುವ ಸಮಯದಲ್ಲಿ "" ನಾವೀನ್ಯತೆ , ಸುಸ್ಥಿರತೆ ಮತ್ತು ಬಹುಪಕ್ಷೀಯ ಸಹಕಾರ "" ಎಂಬ ವಿಷಯದ ಕುರಿತು ಇಂದಿನ ವಿಚಾರ - ವಿಮರ್ಶೆಗಳು ನಡೆಯುತ್ತಾ ಇವೆ .",QT_QTC N_NN CC_CCD N_NNP RD_SYM JJ N_NN CC_CCD JJ N_NN N_NN RB V_VM_VNF N_NN RD_PUNC N_NN RD_PUNC N_NN CC_CCD JJ N_NN RD_PUNC V_VM_VNF N_NN RP_RPD N_NST N_NN RD_SYM N_NN V_VM_VNF V_VM_VF RD_PUNC,NEN NEL O NEL O O O O O O O O O O O O O O O O O O O O O O O O O O O O
31,ಇವುಗಳಲ್ಲಿ ಮೊದಲನೆಯದು ಡಿಜಿಟಲ್ ಮತ್ತು ಸೈಬರ್ ಸುರಕ್ಷತೆ .,PR_PRP QT_QTO N_NNP CC_CCD N_NN N_NN RD_PUNC,O O O O O O O
32,"ಆಗಸ್ಟ್ 2019 ರಲ್ಲಿ , ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ ನ ಸೈಬರ್ ಸುರಕ್ಷತೆ ಮತ್ತು ಡಿಜಿಟಲ್ ತಂತ್ರಜ್ಞಾನದ ಕುರಿತು ಒಂದು ಮಾರ್ಗಸೂಚಿಯನ್ನು ಅಳವಡಿಸಿಕೊಂಡವು , ಇದು ಒಂದು 21 ನೇ ಶತಮಾನಕ್ಕೆ ಅಡಿಪಾಯ ಎಂದು ನಾವು ಪರಿಗಣಿಸುವಂತಹ ಕ್ಷೇತ್ರದಲ್ಲಿ ಸಹಕಾರಕ್ಕಾಗಿ ನಮ್ಮ ಹಂಚಿಕೆಯ ದೃಷ್ಟಿಕೋನವನ್ನು ನಿರ್ಧರಿಸುತ್ತದೆ .",N_NNP QT_QTC PSP RD_PUNC N_NNP CC_CCD N_NNP PSP N_NN N_NN CC_CCD N_NNP N_NN RP_RPD QT_QTC N_NN V_VM_VF RD_PUNC PR_PRP QT_QTC QT_QTC N_NN N_NN N_NN CC_CCS PR_PRP V_VM_VNF N_NN N_NN PR_PRP N_NN N_NN V_VM_VF RD_PUNC,NED NED O O NEL O NEL O NETE NETE O NETE NETE O O O O O O O NEN O O O O O O O O O O O O O
33,"ನಮ್ಮಲ್ಲಿ ಒಂದು ಪ್ರಬಲವಾದ ಸೈಬರ್ ಸಂವಾದ ಇದೆ , ಅಲ್ಲಿ ನಾವು ಡಿಜಿಟಲ್ ಮತ್ತು ಸೈಬರ್ ಸಮಸ್ಯೆಗಳ ಕುರಿತು ದ್ವಿಪಕ್ಷೀಯ ಮತ್ತು ಬಹುಪಕ್ಷೀಯ ಸಹಕಾರಗಳ ಬಗ್ಗೆ ಚರ್ಚಿಸುತ್ತೇವೆ .",PR_PRP QT_QTC JJ N_NN N_NN V_VM_VF RD_PUNC PR_PRP PR_PRP N_NNP CC_CCD N_NN N_NN RP_RPD JJ CC_CCD JJ N_NN RP_RPD V_VM_VF RD_PUNC,O O O O O O O O O O O O O O O O O O O O O
