Sentence#,Sentence,POS,Tag
34,"ಪ್ರಾಯೋಗಿಕ ಅಂಶಗಳಲ್ಲಿಯೂ , ಭಾರತದ ಸುಧಾರಿತ ಕಂಪ್ಯೂಟಿಂಗ್ ಅಭಿವೃದ್ಧಿ ಕೇಂದ್ರ ಅಥವಾ ಸಿ - ಡೆಕ್ ಮತ್ತು ಫ್ರಾನ್ಸೇಸ್ ಕಂಪನಿ ಅಟೋಸ್ ಮೂಲಕ ರಾಷ್ಟ್ರೀಯ ಸೂಪರ್‌ಕಂಪ್ಯೂಟಿಂಗ್ ಮಿಷನ್ ( ಎನ್ಎಸ್ಎಮ್ ) ನ ಅಡಿಯಲ್ಲಿ ಭಾರತದ ಅತ್ಯಂತ ವೇಗದ ಸೂಪರ್‌ಕಂಪ್ಯೂಟರ್ ' ಪರಮ್ - ಸಿದ್ಧಿ - ಎಐ ' ಯ ಯಶಸ್ವಿ ಅಭಿವೃದ್ಧಿಯಲ್ಲಿ ನಮ್ಮ ನಡುವೆ ಅತ್ಯುತ್ತಮ ಸಹಕಾರವನ್ನು ಕಾಣಬಹುದು .",JJ N_NN RD_PUNC N_NNP JJ N_NN N_NN N_NN CC_CCD N_NN RD_SYM N_NNP CC_CCD N_NNP N_NN N_NN PSP JJ N_NN N_NN RD_SYM N_NNP RD_SYM PSP N_NN N_NNP RP_INTF JJ N_NN RD_PUNC N_NN RD_SYM N_NN RD_SYM N_NN RD_PUNC PSP N_NN N_NN PR_PRP N_NN JJ N_NN V_VM_VF RD_PUNC,O O O NEL O O O O O NEO NEO NEO O NEL O NEO O O O O O NEA O O O O O O O O NEA NEA NEA O O O O O O O O O O O O
35,"ಎರಡೂ ದೇಶಗಳಿಗೆ ಬರುತ್ತಿರುವ 5 - ಜೀ ನೆಟ್‌ವರ್ಕ್‌ಗಳು , ಸುರಕ್ಷಿತವಾಗಿ ಇರಬೇಕು ಎಂಬ ಅರಿವು ಕೂಡ ಬೆಳೆಯುತ್ತಿದೆ .",QT_QTC N_NN V_VM_VNF QT_QTC RD_SYM N_NN N_NN RD_PUNC RB V_VM_VF CC_CCS N_NN RP_RPD V_VM_VF RD_PUNC,O O O NETE NETE NETE NETE O O O O O O O O
36,5 - ಜೀ ತಂತ್ರಜ್ಞಾನಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಅಪಾಯಗಳಿಗೆ ಪರಿಹಾರಗಳನ್ನು ಕಂಡುಹಿಡಿಯಲು ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ ಎರಡೂ ಕೂಡ ಬದ್ಧ ಆಗಿವೆ .,QT_QTC RD_SYM N_NN N_NN V_VM_VNF N_NN N_NN V_VM_VINF N_NNP CC_CCD N_NNP QT_QTC RP_RPD N_NN V_VM_VF RD_PUNC,NETE NETE NETE NETE O O O O NEL O NEL O O O O O
37,"9 .ಇದೇ ರೀತಿಯಲ್ಲಿ , ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ ನಾಗರಿಕ ಪರಮಾಣು ಶಕ್ತಿ ಮತ್ತು ಜೈತಾಪುರ ಯೋಜನೆಯಲ್ಲಿ ದೀರ್ಘಕಾಲೀನ ಸಹಕಾರದ ಜೊತೆಗೆ ಶುದ್ಧ ಶಕ್ತಿಯ ಆರಂಭಿಕ ಪ್ರತಿಪಾದಕಗಳು ಆಗಿವೆ , ನಾವು ಅದರ ಪ್ರಗತಿ ಸಾಧಿಸಲು ದೃಢಸಂಕಲ್ಪ ಮಾಡಿದ್ದೇವೆ .",QT_QTC JJ N_NN RD_PUNC N_NNP CC_CCD N_NNP JJ N_NN N_NN CC_CCD N_NNP N_NN JJ N_NN PSP JJ N_NN JJ N_NN V_VM_VF RD_PUNC PR_PRP PR_PRP N_NN V_VM_VINF N_NN V_VM_VF RD_PUNC,NEN O O O NEL O NEL NETE NETE NETE O NEL O O O O O O O O O O O O O O O O O
38,"ಶಕ್ತಿಯ ದೀರ್ಘಕಾಲಿಕ , ಶುದ್ಧತೆಯ ಮೂಲವಾಗಿ ಹವಾಗುಣ ಬದಲಾವಣೆಯ ಸವಾಲನ್ನು ನಿಭಾಯಿಸಲು ಪರಮಾಣು ಶಕ್ತಿಯ ಪ್ರಾಮುಖ್ಯತೆಯ ಕುರಿತು ಎರಡೂ ದೇಶಗಳ ಅಭಿಪ್ರಾಯಗಳು ಒಂದೇ ರೀತಿ ಆಗಿವೆ .",N_NN JJ RD_PUNC N_NN RB N_NN N_NN N_NN V_VM_VINF N_NN N_NN N_NN RP_RPD QT_QTC N_NN N_NN QT_QTC N_NN V_VM_VF RD_PUNC,O O O O O O O O O O O O O O O O O O O O
39,"ಇದಲ್ಲದೇ , ನಮ್ಮ ಶಕ್ತಿಯ ಸಹಯೋಗ ಹಾಗೆಯೇ ಬಹುಪಕ್ಷೀಯ ಸಹಭಾಗಿತ್ವದ ಪರಿಪಕ್ವತೆಯು ಅಂತರಾಷ್ಟ್ರೀಯ ಸೌರ ಒಕ್ಕೂಟದ ನಮ್ಮ ಸಹ - ಸ್ಥಾಪನೆಯಲ್ಲಿ ಪ್ರತಿಫಲಿಸುತ್ತದೆ , ಇದು ವಿಶೇಷವಾಗಿ ಜಗತ್ತಿನ ಅತ್ಯಂತ ದುರ್ಬಲ ಭಾಗಗಳಲ್ಲಿ ಶಕ್ತಿಯ ಪರಿವರ್ತನೆಯನ್ನು ಸಾಧಿಸಲು ಸರ್ಕಾರಗಳಿಗೆ ಅತ್ಯುತ್ತಮ ಪರಿಹಾರವಾಗಿ ಸೌರಶಕ್ತಿಯನ್ನು ಸ್ಥಾಪಿಸುವ ಉದ್ದೇಶವನ್ನು ಹೊಂದಿದೆ .",PR_PRP RD_PUNC PR_PRP N_NN N_NN CC_CCS JJ N_NN N_NN JJ N_NN N_NN PR_PRP RP_RPD RD_SYM N_NN V_VM_VNF RD_PUNC PR_PRP JJ N_NN RP_INTF JJ N_NN N_NN N_NN V_VM_VINF N_NN JJ N_NN N_NN V_VM_VNF N_NN V_VM_VF RD_PUNC,O O O O O O O O O NEO NEO NEO O O O O O O O O O O O O O O O O O O O O O O O
40,10 .ಹಸಿರು ಜಲಜನಕ ಎರಡೂ ದೇಶಗಳ ನಡುವಿನ ಶಕ್ತಿ ಸಹಯೋಗದ ಮತ್ತೊಂದು ಉದಯೋನ್ಮುಖ ಕ್ಷೇತ್ರ ಆಗಿದೆ .,QT_QTC N_NN N_NN QT_QTC N_NN N_NN N_NN N_NN N_NN N_NN N_NN V_VM_VF RD_PUNC,NEN O O NEN O O O O O O O O O
41,"ಫ್ರಾನ್ಸ್ ಈ ಪ್ರದೇಶದ ಪ್ರಮುಖ ಯುರೋಪಿಯನ್ ರಾಷ್ಟ್ರಗಳಲ್ಲಿ ಒಂದು , ಇದು ಹಸಿರು ಜಲಜನಕ ತಂತ್ರವನ್ನು ಘೋಷಿಸಿದೆ ಹಾಗೆಯೇ ಈ ಕಾರ್ಯತಂತ್ರವನ್ನು ಕಾರ್ಯಗತಗೊಳಿಸಲು 2030 ರ ವೇಳೆಗೆ 7.2 ಯೂರೋ ಬಿಲಿಯನ್ ಹೂಡಿಕೆ ಮಾಡಲು ಬದ್ಧ ಆಗಿದೆ .",N_NNP DM_DMD N_NN JJ N_NNP N_NN QT_QTC RD_PUNC PR_PRP JJ N_NN N_NN V_VM_VF CC_CCS DM_DMD N_NN V_VM_VINF QT_QTC N_NN N_NN QT_QTC N_NNP N_NNP N_NN V_VM_VINF N_NN V_VM_VF RD_PUNC,NEL O O O O O O O O O O O O O O O O NEN O O NEN NEN NEN O O O O O
42,ಹಸಿರು ಜಲಜನಕವನ್ನು ಅಳವಡಿಸಿಕೊಳ್ಳುವಲ್ಲಿ ಫ್ರಾನ್ಸ್ ಕೂಡ ಮುಂಚೂಣಿಯಲ್ಲಿ ಇದೆ ಹಾಗೆಯೇ 2019 ರಿಂದ ಇದನ್ನು ತನ್ನ ನಗರ ಮತ್ತು ಭಾರೀ ಮೊಬಿಲಿಟೀ ಸಿಸ್ಟಮ್ ಗಳಲ್ಲಿ ಅಳವಡಿಸಿಕೊಳ್ಳಲು ಪ್ರಾರಂಭ ಕೂಡ ಮಾಡಿದ್ದಾರೆ .,JJ N_NN V_VM_VNF N_NNP RP_RPD N_NN V_VM_VF CC_CCS QT_QTC PSP PR_PRP PR_PRF N_NN CC_CCD JJ N_NN N_NN N_NN V_VM_VINF N_NN RP_RPD V_VM_VF RD_PUNC,O O O NEL O O O O NEN O O O O O O O O O O O O O O
43,"11 .ಭಾರತವು ಸಹ ಒಂದು ಮಹತ್ವಾಕಾಂಕ್ಷೆಯ ರಾಷ್ಟ್ರೀಯ ಹೈಡ್ರೋಜನ್ ಮಿಷನ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಿದೆ , ಇದು ಐದು ಪ್ರಮುಖ ಹವಾಗುಣ ಗುರಿಗಳು ಅಥವಾ ಪಂಚಾಮೃತಕ್ಕೆ ಉತ್ತಮ ಕೊಡುಗೆ ನೀಡುತ್ತದೆ , ಇದನ್ನು ಕಳೆದ ವರ್ಷ ಸಿಒಪಿ26 ಶೃಂಗಸಭೆಯಲ್ಲಿ ನಮ್ಮ ಪ್ರಧಾನ ಮಂತ್ರಿಯವರು ಘೋಷಿಸಿದ್ದರು .",QT_QTC N_NN RP_RPD QT_QTC N_NN JJ N_NN N_NN PSP V_VM_VNF RD_PUNC PR_PRP QT_QTC JJ N_NN N_NN CC_CCD N_NN JJ N_NN V_VM_VF RD_PUNC PR_PRP JJ N_NN N_NN N_NN PR_PRP JJ N_NN V_VM_VF RD_PUNC,NEN NEL O O O O O O O O O O O O O O O O O O O O O O O NEA O O O O O O
44,"ಭಾರತ ಸರ್ಕಾರವು ಹೈಡ್ರೋಜನ್ ಶಕ್ತಿ ಮತ್ತು ಇಂಧನದ ಕುರಿತು ವ್ಯಾಪಕ ಆಧಾರಿತ ಸಂಶೋಧನೆ , ಅಭಿವೃದ್ಧಿ ಹಾಗೂ ಪ್ರದರ್ಶನ ಕಾರ್ಯಕ್ರಮವನ್ನು ಬೆಂಬಲಿಸುತ್ತಾ ಇದೆ .",N_NNP N_NN N_NNP N_NN CC_CCD N_NN RP_RPD N_NN N_NNV N_NN RD_PUNC N_NN CC_CCD N_NN N_NN V_VM_VNF V_VM_VF RD_PUNC,NEL O O O O O O O O O O O O O O O O O
45,"ನವೀಕರಣೀಯ ಇಂಧನ ಮೂಲಗಳಿಂದ ಹೈಡ್ರೋಜನ್ ಉತ್ಪಾದನೆ , ಇದರ ಸುರಕ್ಷತೆ ಹಾಗೂ ಸಮರ್ಥ ಸಂಗ್ರಹಣೆ ಮತ್ತು ದಹನ ಅಥವಾ ಇಂಧನ ಕೋಶದ ಮೂಲಕ ಸಾರಿಗೆ ವಿಧಾನಗಳಲ್ಲಿ ಶಕ್ತಿಯ ಬಳಕೆಯಲ್ಲಿನ ಸವಾಲುಗಳನ್ನು ಬಗೆಹರಿಸಲು ಔದ್ಯೋಗಿಕ , ಶೈಕ್ಷಣಿಕ ಹಾಗೆಯೇ ಸಂಶೋಧನಾ ಸಂಸ್ಥೆಗಳ ಯೋಜನೆಗಳನ್ನು ಬೆಂಬಲಿಸಲು ಆಗುತ್ತದೆ .",JJ N_NN N_NN N_NNP N_NN RD_PUNC PR_PRP N_NN CC_CCD JJ N_NN CC_CCD N_NN CC_CCD N_NN N_NN PSP N_NN N_NN N_NN N_NN N_NN V_VM_VINF JJ RD_PUNC N_NN CC_CCS N_NN N_NN N_NN V_VM_VINF V_VM_VF RD_PUNC,NETE NETE NETE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
46,"ಸಾರಿಗೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ , ಬನಾರಸ್ ಹಿಂದೂ ವಿಶ್ವವಿದ್ಯಾನಿಲಯ , ಐಐಟಿ ದೆಹಲಿ ಹಾಗೂ ಮಹೀಂದ್ರಾ ಏಂಡ್ ಮಹೀಂದ್ರಾದಲ್ಲಿ ಪ್ರಮುಖ ಕೆಲಸಗಳನ್ನು ಬೆಂಬಲಿಸಲು ಆಗಿದೆ .",N_NN V_VM_VNF RD_PUNC N_NNP N_NNP N_NN RD_PUNC N_NN N_NNP CC_CCD N_NNP N_NNP N_NNP JJ N_NN V_VM_VINF V_VM_VF RD_PUNC,O O O NEO NEO NEO O NEO NEO O NEO NEO NEO O O O O O
47,"ಈ ದಿಕ್ಕಿನಲ್ಲಿ ಮುಂದೆ ಸಾಗುತ್ತಾ ಇರುವ , ಎರಡು ಹೈಡ್ರೋಜನ್ ಇಂಧನ ತುಂಬುವ ಕೇಂದ್ರಗಳನ್ನು ಸಹ ಸ್ಥಾಪಿಸಲು ಆಗಿದೆ , ಅದರಲ್ಲಿ ಒಂದು ಫರಿದಾಬಾದ್‌ನ ಭಾರತೀಯ ತೈಲ ಸಂಶೋಧನೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿ ಕೇಂದ್ರದಲ್ಲಿ ಹಾಗೆಯೇ ಒಂದು ಗುರುಗ್ರಾಮ್‌ನಲ್ಲಿ ಇರುವ ಸೌರಶಕ್ತಿಯ ರಾಷ್ಟ್ರೀಯ ಸಂಸ್ಥೆಯಲ್ಲಿ ಇದೆ .",DM_DMD N_NN N_NST V_VM_VNF V_VM_VNF RD_PUNC QT_QTC N_NN N_NN V_VM_VNF N_NN RP_RPD V_VM_VINF V_VM_VF RD_PUNC PR_PRP QT_QTC N_NNP N_NNP N_NN N_NN CC_CCD N_NN N_NN CC_CCS QT_QTC N_NN V_VM_VNF N_NN JJ N_NN V_VM_VF RD_PUNC,O O O O O O O NETE NETE O O O O O O O O NEL NEO NEO NEO NEO NEO NEO O O NEL O NEO NEO NEO O O
48,12 .ಇವು ವರ್ತಮಾನದಲ್ಲಿ ನಡೆಯುತ್ತಿರುವ ಕೆಲಸ ಹಾಗೂ ಭಾರತ - ಫ್ರಾನ್ಸ್ ಡಿಜಿಟಲ್ ಮತ್ತು ಶಕ್ತಿ ಪಾಲುದಾರಿಕೆಯಲ್ಲಿ ಅದರ ಬಳಕೆಯ ಸಾಮರ್ಥ್ಯಕ್ಕೆ ಕೆಲವು ಉದಾಹರಣೆಗಳು ಆಗಿವೆ .,QT_QTC N_NN N_NN V_VM_VNF N_NN CC_CCD N_NNP RD_SYM N_NNP N_NNP CC_CCD N_NN N_NN PR_PRP N_NN N_NN DM_DMI N_NN V_VM_VF RD_PUNC,O O O O O O NEL O NEL O O O O O O O O O O O
49,"ಇಂಡೋ - ಪೆಸಿಫಿಕ್‌ನಲ್ಲಿ ನಿಕಟ ಸಹಕಾರಕ್ಕೆ ನಾವು ಬದ್ಧರಾಗಿ ಇದ್ದೇವೆ , ಮತ್ತು ಇದರಲ್ಲಿ ಮುನ್ನಡೆಯಲು ನಾವು ಹೊಸ ಮಾರ್ಗಗಳನ್ನೂ ಕಂಡುಕೊಳ್ಳುತ್ತಿದ್ದೇವೆ .",N_NNP RD_SYM N_NN JJ N_NN PR_PRP RB V_VM_VF RD_PUNC CC_CCD PR_PRP V_VM_VINF PR_PRP JJ N_NN V_VM_VF RD_PUNC,NEL O NEL O O O O O O O O O O O O O O
50,"ಉದಾಹರಣೆಗೆ , ' ನೀಲಿ ಆರ್ಥಿಕತೆ ಮತ್ತು ಸಾಗರ ಆಡಳಿತದ ಮಾರ್ಗಸೂಚಿ ' ಯನ್ನು ಅಳವಡಿಸಿಕೊಳ್ಳುವುದರ ಜೊತೆಗೆ , ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್‌ ನೀಲಿ ಆರ್ಥಿಕ ಅವಕಾಶಗಳಿಂದ ಆರ್ಥಿಕತೆಗೆ ಸಂಬಂಧಿಸಿದ ಸಂಸ್ಥೆಗಳ ನಡುವಿನ ಸಹಕಾರದ , ಮಹಾಸಾಗರ ವಿಜ್ಞಾನದ ಸಹಕಾರ ಮತ್ತು ಸುಸ್ಥಿರ ಸಾಗರ ಮೂಲಸೌಕರ್ಯದ ಜೊತೆಗೆ ಕೆಲಸ ಮಾಡಲು ಹೊಸ ಮಾರ್ಗಗಳನ್ನು ಕಂಡುಹಿಡಿಯಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ .",N_NN RD_PUNC RD_PUNC JJ N_NN CC_CCD N_NN N_NN V_VM_VNF RD_PUNC N_NN V_VM_VNF PSP RD_PUNC N_NNP CC_CCD N_NNP N_NN JJ N_NN N_NN V_VM_VNF N_NN N_NN N_NN RD_PUNC N_NN N_NN N_NN CC_CCD JJ N_NN N_NN PSP N_NN V_VM_VINF JJ N_NN V_VM_VINF N_NN V_VM_VF RD_PUNC,O O O O O O O O O O O O O O NEL O NEL O O O O O O O O O O O O O O O O O O O O O O O O O
51,"ಬಹುಪಕ್ಷೀಯ ಕ್ಷೇತ್ರದಲ್ಲಿ , ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ ಉನ್ನತ ಮಹತ್ವಾಕಾಂಕ್ಷೆಯ ಮೈತ್ರಿಯ ಮೂಲಕ ರಾಷ್ಟ್ರೀಯ ನ್ಯಾಯವ್ಯಾಪ್ತಿಯ ಆಚೆಗಿನ ಜೀವವೈವಿಧ್ಯತೆಯ ರಕ್ಷಣೆ ( ಬಿಬಿಎನ್‌ಜೆ ) ಗೆ ಕಾನೂನಾತ್ಮಕವಾಗಿ ಬದ್ಧವಾದ ಒಪ್ಪಂದಕ್ಕೆ ಕರೆ ನೀಡಿದೆ .",JJ N_NN RD_PUNC N_NNP CC_CCD N_NNP JJ N_NN N_NN PSP JJ N_NN N_NST N_NN N_NN RD_SYM N_NN RD_SYM PSP N_NN JJ N_NN N_NN V_VM_VF RD_PUNC,O O O NEL O NEL O O O O O O O O O O NEA O O O O O O O O
52,ನಾವು ಜಂಟಿಯಾಗಿ ಇಂಡೋ - ಪೆಸಿಫಿಕ್ ಪಾರ್ಕ್ ಪಾಲುದಾರಿಕೆಯನ್ನು ಸಹ ಪ್ರಾರಂಭಿಸಿದ್ದೇವೆ ಇದು ಪಾರ್ಕ್ ವ್ಯವಸ್ಥಾಪಕರ ನಡುವೆ ಅತ್ಯುತ್ತಮ ಅಭ್ಯಾಸಗಳು ಮತ್ತು ಜ್ಞಾನದ ವಿನಿಮಯವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸುವ ಉದ್ದೇಶವನ್ನು ಹೊಂದಿದೆ .,PR_PRP RB V_VM_VNF RD_SYM N_NN N_NN N_NN RP_RPD N_NN PR_PRP N_NN N_NN N_NN JJ N_NN CC_CCD N_NN N_NN V_VM_VNF N_NN V_VM_VF RD_PUNC,O O NEL O NEL O O O O O O O O O O O O O O O O O
53,"ಇಂಡೋ - ಪೆಸಿಫಿಕ್‌ನಲ್ಲಿ ಅಕ್ರಮ , ಅನಿಯಮಿತ ಮತ್ತು ವರದಿರಹಿತ ( ಐಯುಯು ) ಮೀನುಗಾರಿಕೆಯನ್ನು ಜಂಟಿಯಾಗಿ ನಿಭಾಯಿಸಲು ಕೂಡ ಎರಡೂ ದೇಶಗಳು ಬದ್ಧವಾಗಿ ಇವೆ .",N_NNP RD_SYM N_NN N_NN RD_PUNC JJ CC_CCD N_NN RD_SYM N_NN RD_SYM N_NN RB V_VM_VINF RP_RPD QT_QTC N_NN RB V_VM_VF RD_PUNC,NEL O NEL O O O O O O O O O O O O O O O O O
54,ಕಳೆದ ವರ್ಷ ಫ್ರಾನ್ಸ್ ಇಂಡೋ - ಪೆಸಿಫಿಕ್ ಓಷನ್ ಇನಿಶಿಯೇಟಿವ್‌ನ ಸಾಗರ ಸಂಪನ್ಮೂಲಗಳ ಸ್ತಂಭವನ್ನು ಅಳವಡಿಸಿಕೊಂಡಾಗ ಸಹಯೋಗದ ಈ ಕ್ಷೇತ್ರವು ಮತ್ತಷ್ಟು ಪ್ರಗತಿಯನ್ನು ಕಂಡಿತು .,JJ N_NN N_NNP N_NNP RD_SYM N_NN N_NN N_NN N_NN N_NN N_NN V_VM_VNF N_NN DM_DMD N_NN JJ N_NN V_VM_VF RD_PUNC,O O O NEL O NEL O O O O O O O O O O O O O
55,ಈ ನಿಟ್ಟಿನಲ್ಲಿ ಭಾರತ ಫ್ರಾನ್ಸ್‌ನ ಬೆಂಬಲವನ್ನು ಮುಂದುವರಿಸಲಿದೆ .,DM_DMD N_NN N_NNP N_NNP N_NN V_VM_VF RD_PUNC,O O NEL NEL O O O
56,"13 ಒಂದು ವೇಳೆ ನಾವು ಜಾಗತಿಕ ಒಳಿತಿಗಾಗಿ ಒಂದು ಶಕ್ತಿಯಾಗಲು ನಮ್ಮ ಮಿತಿಗಳನ್ನು ತಳ್ಳುತ್ತಿದ್ದರೆ , ಭಾರತ - ಫ್ರಾನ್ಸ್ ಕಾರ್ಯತಂತ್ರದ ಪಾಲುದಾರಿಕೆಯಲ್ಲಿ ಇರುವ ಸಾಧ್ಯತೆಗಳಿಗೆ ಅಂತ್ಯವಿಲ್ಲ .",QT_QTC QT_QTC N_NN PR_PRP JJ N_NN QT_QTC N_NN PR_PRP N_NN V_VM_VNF RD_PUNC N_NNP RD_SYM N_NNP N_NN N_NN V_VM_VNF N_NN V_VM_VF RD_PUNC,NEN O O O O O O O O O O O NEL O NEL O O O O O O
57,"ನಾನು ಮೊದಲೇ ಹೇಳಿದಂತೆ , 21 ನೇ ಶತಮಾನದ ಸಮಸ್ಯೆಗಳನ್ನು ನಿಭಾಯಿಸಲು 21 ನೇ ಶತಮಾನದ ಪರಿಹಾರಗಳ ಅಗತ್ಯ ಇದೆ .",PR_PRP RB V_VM_VNF RD_PUNC QT_QTC QT_QTO N_NN N_NN V_VM_VINF QT_QTC QT_QTO N_NN N_NN N_NN V_VM_VF RD_PUNC,O O O O NEN O O O O NEN O O O O O O
58,ಭಾರತ - ಫ್ರಾನ್ಸ್ ಸಂಬಂಧಗಳು ನಿಜವಾಗಿ 21 ನೇ ಶತಮಾನದ ಪಾಲುದಾರಿಕೆ ಆಗಿದೆ .,N_NNP RD_SYM N_NNP N_NN N_NN QT_QTC QT_QTO N_NN N_NN V_VM_VF RD_PUNC,NEL O NEL O O NEN O O O O O
59,ಇಂದಿನ ಟ್ರ್ಯಾಕ್ 1.5 ಸಂವಾದದ ಫಲಿತಾಂಶಕ್ಕಾಗಿ ನಾನು ಕುತೂಹಲದಿಂದ ಕಾಯುತ್ತಿದ್ದೇನೆ .,N_NN N_NN QT_QTC JJ N_NN PR_PRP N_NN V_VM_VF RD_PUNC,O O NEN O O O O O O
60,ಭಾರತ - ಫ್ರಾನ್ಸ್ ಸಂಬಂಧಗಳನ್ನು ಸಧೃಡವಾಗಿಸಲು ಕೆಲವು ಹೊಸ ಮತ್ತು ರಚನಾತ್ಮಕ ಮಾರ್ಗಗಳ ಅನ್ವೇಷಣೆಗೆ ಸಹಾಯ ಮಾಡಲು ಇಂದಿನ ಚರ್ಚೆಯು ನಮಗೆ ನಿರ್ದಿಷ್ಟ ಆಲೋಚನೆಗಳು ಮತ್ತು ಒಳನೋಟಗಳನ್ನು ನೀಡುತ್ತದೆ ಎಂದು ನನಗೆ ನಂಬಿಕೆ ಇದೆ .,NNP RD_SYM N_NNP N_NN V_VM_VINF DM_DMI JJ CC_CCD JJ N_NN N_NN N_NN V_VM_VINF N_NN N_NN PR_PRP JJ N_NN CC_CCD N_NN V_VM_VF CC_CCS PR_PRP N_NN V_VM_VF RD_PUNC,NEL O NEL O O O O O O O O O O O O O O O O O O O O O O O
61,ಧನ್ಯವಾದಗಳು .,N_NN RD_PUNC,O O
